name,red,green,blue,primary_label,primary_label_encoded
Sweet Chrysanthemum_0,0.8666666666666667,0.5176470588235295,0.6392156862745098,Blue+Red+Yellow,2
Sweet Corn_0,0.9764705882352941,0.8823529411764706,0.4627450980392157,Blue+Red+Yellow,2
Sweet Cream_0,0.9411764705882353,0.9176470588235294,0.9058823529411765,Blue+Red+Yellow,2
Sweet Curry_0,0.9098039215686274,0.6549019607843137,0.45098039215686275,Blue+Red+Yellow,2
Sweet Desire_0,0.6666666666666666,0.2,0.9333333333333333,Blue+Red,1
Sweet Dough_0,0.8588235294117647,0.796078431372549,0.6705882352941176,Blue+Red+Yellow,2
Sweet Dreams_0,0.6078431372549019,0.7803921568627451,0.9176470588235294,Blue+Red+Yellow,2
Sweet Earth_0,0.6705882352941176,0.5764705882352941,0.40784313725490196,Blue+Red+Yellow,2
Sweet Emily_0,0.796078431372549,0.8196078431372549,0.8823529411764706,Blue+Red+Yellow,2
Sweet Escape_0,0.5333333333333333,0.26666666666666666,1.0,Blue+Red,1
Sweet Flag_0,0.403921568627451,0.2549019607843137,0.5882352941176471,Blue+Red,1
Sweet Florence_0,0.5411764705882353,0.6078431372549019,0.4627450980392157,Blue+Red+Yellow,2
Sweet Flower_0,0.8862745098039215,0.8862745098039215,0.9176470588235294,Blue+Red+Yellow,2
Sweet Frosting_0,1.0,0.9725490196078431,0.8941176470588236,Blue+Red+Yellow,2
Sweet Garden_0,0.37254901960784315,0.8196078431372549,0.7294117647058823,Blue+Yellow,3
Sweet Gardenia_0,0.9372549019607843,0.8941176470588236,0.8549019607843137,Blue+Red+Yellow,2
Sweet Georgia Brown_0,0.5450980392156862,0.44313725490196076,0.35294117647058826,Red+Yellow,6
Sweet Grape_0,0.30196078431372547,0.23921568627450981,0.3215686274509804,Neutral,4
Sweet Grass_0,0.6980392156862745,0.7137254901960784,0.5411764705882353,Blue+Red+Yellow,2
Sweet Harbor_0,0.8509803921568627,0.8666666666666667,0.9058823529411765,Blue+Red+Yellow,2
Sweet Heart_0,0.8980392156862745,0.6666666666666666,0.6901960784313725,Blue+Red+Yellow,2
Sweet Honey_0,0.8313725490196079,0.6470588235294118,0.3607843137254902,Red+Yellow,6
Sweet Illusion_0,0.8784313725490196,0.9098039215686274,0.9254901960784314,Blue+Red+Yellow,2
Sweet Jasmine_0,0.9764705882352941,0.9568627450980393,0.8313725490196079,Blue+Red+Yellow,2
Sweet Juliet_0,0.7215686274509804,0.7490196078431373,0.8235294117647058,Blue+Red+Yellow,2
Sweet Lavender_0,0.5568627450980392,0.5529411764705883,0.7254901960784313,Blue+Red+Yellow,2
Sweet Lemon Seed_0,1.0,0.9568627450980393,0.35294117647058826,Red+Yellow,6
Sweet Lilac_0,0.9098039215686274,0.7098039215686275,0.807843137254902,Blue+Red+Yellow,2
Sweet Lucid Dreams_0,0.8,0.7333333333333333,0.8666666666666667,Blue+Red+Yellow,2
Sweet Lychee_0,0.6078431372549019,0.25098039215686274,0.25098039215686274,Red,5
Sweet Mallow_0,1.0,0.8705882352941177,0.8862745098039215,Blue+Red+Yellow,2
Sweet Mandarin_0,0.8274509803921568,0.3686274509803922,0.22745098039215686,Red,5
Sweet Maple_0,0.8666666666666667,0.6862745098039216,0.4235294117647059,Blue+Red+Yellow,2
Sweet Marzipan_0,0.9254901960784314,0.8352941176470589,0.6666666666666666,Blue+Red+Yellow,2
Sweet Melon_0,0.9098039215686274,0.4745098039215686,0.45098039215686275,Blue+Red+Yellow,2
Sweet Memories_0,0.9921568627450981,0.7843137254901961,0.803921568627451,Blue+Red+Yellow,2
Sweet Menthol_0,0.7607843137254902,0.8941176470588236,0.7372549019607844,Blue+Red+Yellow,2
Sweet Midori_0,0.6549019607843137,0.7803921568627451,0.30980392156862746,Red+Yellow,6
Sweet Mint_0,0.7058823529411765,0.8,0.7450980392156863,Blue+Red+Yellow,2
Sweet Mint Pesto_0,0.7333333333333333,0.9333333333333333,0.6,Blue+Red+Yellow,2
Sweet Mint Tea_0,0.8352941176470589,0.8901960784313725,0.8156862745098039,Blue+Red+Yellow,2
Sweet Molasses_0,0.29411764705882354,0.25882352941176473,0.24705882352941178,Neutral,4
Sweet Murmur_0,0.9254901960784314,0.7725490196078432,0.8745098039215686,Blue+Red+Yellow,2
Sweet Mustard_0,0.8196078431372549,0.7215686274509804,0.44313725490196076,Blue+Red+Yellow,2
Sweet Nectar_0,0.9803921568627451,0.7411764705882353,0.6862745098039216,Blue+Red+Yellow,2
Sweet Nothing_0,0.9803921568627451,0.9019607843137255,0.8823529411764706,Blue+Red+Yellow,2
Sweet Nothings_0,0.7333333333333333,0.8588235294117647,0.8156862745098039,Blue+Red+Yellow,2
Sweet Orange_0,0.9215686274509803,0.8,0.7019607843137254,Blue+Red+Yellow,2
